OBJECTID;Anlage;Baumnummer;Gattung_Dt;Gattung_Lat;Pflanzdatum;X;Y;Lon;Lat
1;Kaiser-Franz-Joseph-Straße;17;Winterlinde;Tilia cordata;;81264,6040000003;238116,579;11,4070631060001;47,2768837510001
2;Kaiser-Franz-Joseph-Straße;18;Winterlinde;Tilia cordata;;81257,6270000003;238109,146;11,406969561;47,2768177670001
3;Kaiser-Franz-Joseph-Straße;19;Winterlinde;Tilia cordata;;81251,1200000001;238102,323000001;11,4068823380001;47,2767572110001
4;Kaiser-Franz-Joseph-Straße;23;Winterlinde;Tilia cordata;;81223,8600000003;238073,65;11,4065169180001;47,2765027170001
5;Kaiser-Franz-Joseph-Straße;26;Winterlinde;Tilia cordata;;81203,5300000003;238052,220000001;11,4062443880001;47,2763125040001
6;Kaiser-Franz-Joseph-Straße;27;Winterlinde;Tilia cordata;;81196,5800000001;238044,949999999;11,4061512320001;47,276247981
7;Kaiser-Franz-Joseph-Straße;28;Winterlinde;Tilia cordata;;81189,7800000003;238038,02;11,4060601200001;47,2761864980001
8;Kaiser-Franz-Joseph-Straße;29;Winterlinde;Tilia cordata;;81182,8300000001;238030,83;11,4059669790001;47,2761226950001
9;Kaiser-Franz-Joseph-Straße;30;Winterlinde;Tilia cordata;;81176,3099999996;238023,539999999;11,4058795010001;47,27605794
10;Kaiser-Franz-Joseph-Straße;31;Winterlinde;Tilia cordata;;81169,5099999998;238016,43;11,4057883570001;47,2759948380001
11;Kaiser-Franz-Joseph-Straße;32;Winterlinde;Tilia cordata;;81162,6799999997;238009,310000001;11,4056968150001;47,2759316490001
12;Kaiser-Josef-Straße;29;Gemeine Esche;Fraxinus excelsior;;79939,7999999998;236502,57;11,3892687430001;47,2625309750001
13;Kaiser-Josef-Straße;31;Gemeine Esche;Fraxinus excelsior;;79929,75;236491,98;11,3891340860001;47,262436957
14;Kaiser-Josef-Straße;32;Gemeine Esche;Fraxinus excelsior;;79931,9199999999;236482,02;11,3891609770001;47,2623471220001
15;Kaiser-Josef-Straße;33;Gemeine Esche;Fraxinus excelsior;;79943,9299999997;236483,42;11,3893198870001;47,262358254
